start_time,end_time,duration
2025-04-12 21:11:54.142,2025-04-12 21:12:06.041,11.9
2025-04-12 21:12:20.263,2025-04-12 21:12:28.160,7.9
2025-04-12 21:13:18.059,2025-04-12 21:13:18.747,0.69
