start_time,end_time,duration
2025-04-12 21:54:07.766,2025-04-12 21:54:07.772,0.01
2025-04-12 21:54:11.177,2025-04-12 21:54:11.868,0.69
2025-04-12 21:54:13.862,2025-04-12 21:54:29.166,15.3
2025-04-12 21:54:41.053,2025-04-12 21:54:47.253,6.2
2025-04-12 21:54:53.846,2025-04-12 21:54:59.455,5.61
