start_time,end_time,duration
2025-04-12 22:22:39.725,2025-04-12 22:22:39.727,0.0
2025-04-12 22:22:40.115,2025-04-12 22:22:40.856,0.74
2025-04-12 22:22:46.316,2025-04-12 22:22:48.289,1.97
2025-04-12 22:22:53.002,2025-04-12 22:22:54.980,1.98
2025-04-12 22:22:57.025,2025-04-12 22:23:03.937,6.91
2025-04-12 22:23:30.507,2025-04-12 22:23:31.234,0.73
