start_time,end_time,duration
2025-04-12 22:49:11.849,2025-04-12 22:49:11.955,0.11
2025-04-12 22:49:14.890,2025-04-12 22:49:17.540,2.65
2025-04-12 22:49:22.778,2025-04-12 22:49:23.463,0.68
2025-04-12 22:49:24.729,2025-04-12 22:49:27.335,2.61
2025-04-12 22:49:29.380,2025-04-12 22:49:39.718,10.34
2025-04-12 22:49:41.032,2025-04-12 22:49:43.638,2.61
2025-04-12 22:49:44.949,2025-04-12 22:49:47.598,2.65
2025-04-12 22:49:50.854,2025-04-12 22:49:51.499,0.65
2025-04-12 22:49:54.791,2025-04-12 22:49:58.262,3.47
